,GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,District.HQ,Longitude,Latitude,2012.Census_District.pop
153,TZA,Tanzania,TZA.5_1,Iringa,NA,TZA.5.5_1,Mufindi,NA,NA,Wilaya,District,2,TZ.IR.MU,Mafinga,35.294015,-8.299623,"246,090"
177,TZA,Tanzania,TZA.9_1,Kilimanjaro,NA,TZA.9.1_1,Hai,NA,NA,Wilaya,District,5,TZ.KL.HA,Boma Ng'ombe,37.142788,-3.34101,"210,533"
183,TZA,Tanzania,TZA.9_1,Kilimanjaro,NA,TZA.9.7_1,Siha,NA,NA,Wilaya,District,7,NA,Sanya Juu,37.068909,-3.186015,"116,313"
18,TZA,Tanzania,TZA.11_1,Manyara,NA,TZA.11.3_1,Hanang,NA,NA,Wilaya,District,2,TZ.MY.HA,Katesh,35.389519,-4.516734,"275,990"
21,TZA,Tanzania,TZA.11_1,Manyara,NA,TZA.11.6_1,Mbulu,NA,NA,Wilaya,District,3,TZ.MY.MB,Mbulu,35.545432,-3.856697,"320,279"
38,TZA,Tanzania,TZA.13_1,Mbeya,NA,TZA.13.6_1,Mbeya Rural,NA,NA,Wilaya,District,2,TZ.MB.MR,Mbalizi,33.356571,-8.936838,
39,TZA,Tanzania,TZA.13_1,Mbeya,NA,TZA.13.7_1,Mbeya Urban,NA,NA,Wilaya,District,8,TZ.MB.MU,Mbeya ,33.457198,-8.908673,"690,598"
40,TZA,Tanzania,TZA.13_1,Mbeya,NA,TZA.13.8_1,Mbozi,NA,NA,Wilaya,District,6,TZ.MB.MZ,Vwawa,32.942267,-9.107533,"65,625"
111,TZA,Tanzania,TZA.25_1,Singida,NA,TZA.25.4_1,Mkalama,NA,NA,Wilaya,District,6,NA,Nduguti,34.708394,-4.308106,"188,733"
